coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year
Sam Vincent,CHA,1,1,82,32,50,82,32,50,82,32,50,.390,,,,,,,,,,2008
Scott Skiles,CHI,5,8,25,9,16,337,165,172,532,281,251,.528,,,,22,10,12,35,15,20,2008
Pete Myers,CHI,2,2,1,0,1,3,0,3,3,0,3,.000,,,,,,,,,,2008
Jim Boylan,CHI,1,1,56,24,32,56,24,32,56,24,32,.429,,,,,,,,,,2008
Mike Brown,CLE,3,3,82,45,37,246,145,101,246,145,101,.589,13,7,6,46,26,20,46,26,20,2008
Avery Johnson,DAL,4,4,82,51,31,264,194,70,264,194,70,.735,5,1,4,47,23,24,47,23,24,2008
George Karl,DEN,4,20,82,50,32,286,171,115,1493,879,614,.589,4,0,4,19,3,16,145,62,83,2008
Flip Saunders,DET,3,13,82,59,23,246,176,70,983,587,396,.597,17,10,7,51,30,21,98,47,51,2008
Don Nelson,GSW,9,29,82,48,34,701,367,334,2234,1280,954,.573,,,,35,14,21,166,75,91,2008
Rick Adelman,HOU,1,17,82,55,27,82,55,27,1315,807,508,.614,6,2,4,6,2,4,144,72,72,2008
Jim O'Brien,IND,1,6,82,36,46,82,36,46,422,218,204,.517,,,,,,,31,14,17,2008
Mike Dunleavy,LAC,5,15,82,23,59,410,175,235,1198,573,625,.478,,,,12,7,5,71,38,33,2008
Phil Jackson,LAL,8,17,82,57,25,656,431,225,1394,976,418,.700,21,14,7,125,82,43,277,193,84,2008
Marc Iavaroni,MEM,1,1,82,22,60,82,22,60,82,22,60,.268,,,,,,,,,,2008
Pat Riley,MIA,11,24,82,15,67,849,454,395,1904,1210,694,.636,,,,70,34,36,282,171,111,2008
Larry Krystkowiak,MIL,2,2,82,26,56,100,31,69,100,31,69,.310,,,,,,,,,,2008
Randy Wittman,MIN,2,4,82,22,60,124,34,90,288,96,192,.333,,,,,,,,,,2008
Lawrence Frank,NJN,5,5,82,34,48,368,191,177,368,191,177,.519,,,,38,18,20,38,18,20,2008
Byron Scott,NOH,4,8,82,56,26,328,151,177,616,300,316,.487,12,7,5,12,7,5,52,32,20,2008
Isiah Thomas,NYK,2,5,82,23,59,164,56,108,410,187,223,.456,,,,,,,15,5,10,2008
Stan Van Gundy,ORL,1,4,82,52,30,82,52,30,267,164,103,.614,10,5,5,10,5,5,38,22,16,2008
Maurice Cheeks,PHI,3,7,82,40,42,246,113,133,547,275,272,.503,6,2,4,6,2,4,16,5,11,2008
Mike D'Antoni,PHO,5,6,82,55,27,389,253,136,439,267,172,.608,5,1,4,51,26,25,51,26,25,2008
Nate McMillan,POR,3,8,82,41,41,246,94,152,641,306,335,.477,,,,,,,16,8,8,2008
Reggie Theus,SAC,1,1,82,38,44,82,38,44,82,38,44,.463,,,,,,,,,,2008
Gregg Popovich,SAS,12,12,82,56,26,934,632,302,934,632,302,.677,17,9,8,160,101,59,160,101,59,2008
P.J. Carlesimo,SEA,1,7,82,20,62,82,20,62,487,203,284,.417,,,,,,,12,3,9,2008
Sam Mitchell,TOR,4,4,82,41,41,328,148,180,328,148,180,.451,5,1,4,11,3,8,11,3,8,2008
Jerry Sloan,UTA,20,23,82,54,28,1591,995,596,1806,1089,717,.603,12,6,6,181,91,90,187,93,94,2008
Eddie Jordan,WAS,5,7,82,43,39,410,196,214,507,229,278,.452,6,2,4,26,8,18,26,8,18,2008
Mike Woodson,ATL,5,5,82,47,35,410,153,257,410,153,257,.373,11,4,7,18,7,11,18,7,11,2009
Doc Rivers,BOS,5,10,82,62,20,410,230,180,749,401,348,.535,14,7,7,47,26,21,62,31,31,2009
Larry Brown,CHA,1,28,82,35,47,82,35,47,2228,1274,954,.572,,,,,,,231,120,111,2009
Vinny Del Negro,CHI,1,1,82,41,41,82,41,41,82,41,41,.500,7,3,4,7,3,4,7,3,4,2009
Mike Brown,CLE,4,4,82,66,16,328,211,117,328,211,117,.643,14,10,4,60,36,24,60,36,24,2009
Rick Carlisle,DAL,1,7,82,50,32,82,50,32,574,331,243,.577,10,5,5,10,5,5,72,35,37,2009
George Karl,DEN,5,21,82,54,28,368,225,143,1575,933,642,.592,16,10,6,35,13,22,161,72,89,2009
Michael Curry,DET,1,1,82,39,43,82,39,43,82,39,43,.476,4,0,4,4,0,4,4,0,4,2009
Don Nelson,GSW,10,30,82,29,53,783,396,387,2316,1309,1007,.565,,,,35,14,21,166,75,91,2009
Rick Adelman,HOU,2,18,82,53,29,164,108,56,1397,860,537,.616,13,7,6,19,9,10,157,79,78,2009
Jim O'Brien,IND,2,7,82,36,46,164,72,92,504,254,250,.504,,,,,,,31,14,17,2009
Mike Dunleavy,LAC,6,16,82,19,63,492,194,298,1280,592,688,.463,,,,12,7,5,71,38,33,2009
Phil Jackson,LAL,9,18,82,65,17,738,496,242,1476,1041,435,.705,23,16,7,148,98,50,300,209,91,2009
Marc Iavaroni,MEM,2,2,41,11,30,123,33,90,123,33,90,.268,,,,,,,,,,2009
Johnny Davis,MEM,1,4,2,0,2,2,0,2,219,73,146,.333,,,,,,,,,,2009
Lionel Hollins,MEM,3,3,39,13,26,103,31,72,103,31,72,.301,,,,,,,,,,2009
Erik Spoelstra,MIA,1,1,82,43,39,82,43,39,82,43,39,.524,7,3,4,7,3,4,7,3,4,2009
Scott Skiles,MIL,1,9,82,34,48,82,34,48,614,315,299,.513,,,,,,,35,15,20,2009
Randy Wittman,MIN,3,5,19,4,15,143,38,105,307,100,207,.326,,,,,,,,,,2009
Kevin McHale,MIN,2,2,63,20,43,94,39,55,94,39,55,.415,,,,,,,,,,2009
Lawrence Frank,NJN,6,6,82,34,48,450,225,225,450,225,225,.500,,,,38,18,20,38,18,20,2009
Byron Scott,NOH,5,9,82,49,33,410,200,210,698,349,349,.500,5,1,4,17,8,9,57,33,24,2009
Mike D'Antoni,NYK,1,7,82,32,50,82,32,50,521,299,222,.574,,,,,,,51,26,25,2009
P.J. Carlesimo,OKC,2,8,13,1,12,95,21,74,500,204,296,.408,,,,,,,12,3,9,2009
Scott Brooks,OKC,1,1,69,22,47,69,22,47,69,22,47,.319,,,,,,,,,,2009
Stan Van Gundy,ORL,2,5,82,59,23,164,111,53,349,223,126,.639,24,13,11,34,18,16,62,35,27,2009
Maurice Cheeks,PHI,4,8,23,9,14,269,122,147,570,284,286,.498,,,,6,2,4,16,5,11,2009
Tony DiLeo,PHI,1,1,59,32,27,59,32,27,59,32,27,.542,6,2,4,6,2,4,6,2,4,2009
Terry Porter,PHO,1,3,51,28,23,51,28,23,215,99,116,.460,,,,,,,5,1,4,2009
Alvin Gentry,PHO,1,8,31,18,13,31,18,13,434,195,239,.449,,,,,,,5,2,3,2009
Nate McMillan,POR,4,9,82,54,28,328,148,180,723,360,363,.498,6,2,4,6,2,4,22,10,12,2009
Reggie Theus,SAC,2,2,24,6,18,106,44,62,106,44,62,.415,,,,,,,,,,2009
Kenny Natt,SAC,1,1,58,11,47,58,11,47,58,11,47,.190,,,,,,,,,,2009
Gregg Popovich,SAS,13,13,82,54,28,1016,686,330,1016,686,330,.675,5,1,4,165,102,63,165,102,63,2009
Sam Mitchell,TOR,5,5,17,8,9,345,156,189,345,156,189,.452,,,,11,3,8,11,3,8,2009
Jay Triano,TOR,1,1,65,25,40,65,25,40,65,25,40,.385,,,,,,,,,,2009
Jerry Sloan,UTA,21,24,82,48,34,1673,1043,630,1888,1137,751,.602,5,1,4,186,92,94,192,94,98,2009
Eddie Jordan,WAS,6,8,11,1,10,421,197,224,518,230,288,.444,,,,26,8,18,26,8,18,2009
Ed Tapscott,WAS,1,1,71,18,53,71,18,53,71,18,53,.254,,,,,,,,,,2009
Mike Woodson,ATL,6,6,82,53,29,492,206,286,492,206,286,.419,11,4,7,29,11,18,29,11,18,2010
Doc Rivers,BOS,6,11,82,50,32,492,280,212,831,451,380,.543,24,15,9,71,41,30,86,46,40,2010
Larry Brown,CHA,2,29,82,44,38,164,79,85,2310,1318,992,.571,4,0,4,4,0,4,235,120,115,2010
Vinny Del Negro,CHI,2,2,82,41,41,164,82,82,164,82,82,.500,5,1,4,12,4,8,12,4,8,2010
Mike Brown,CLE,5,5,82,61,21,410,272,138,410,272,138,.663,11,6,5,71,42,29,71,42,29,2010
Rick Carlisle,DAL,2,8,82,55,27,164,105,59,656,386,270,.588,6,2,4,16,7,9,78,37,41,2010
George Karl,DEN,6,22,82,53,29,450,278,172,1657,986,671,.595,6,2,4,41,15,26,167,74,93,2010
John Kuester,DET,1,1,82,27,55,82,27,55,82,27,55,.329,,,,,,,,,,2010
Don Nelson,GSW,11,31,82,26,56,865,422,443,2398,1335,1063,.557,,,,35,14,21,166,75,91,2010
Rick Adelman,HOU,3,19,82,42,40,246,150,96,1479,902,577,.610,,,,19,9,10,157,79,78,2010
Jim O'Brien,IND,3,8,82,32,50,246,104,142,586,286,300,.488,,,,,,,31,14,17,2010
Mike Dunleavy,LAC,7,17,49,21,28,541,215,326,1329,613,716,.461,,,,12,7,5,71,38,33,2010
Kim Hughes,LAC,1,1,33,8,25,33,8,25,33,8,25,.242,,,,,,,,,,2010
Phil Jackson,LAL,10,19,82,57,25,820,553,267,1558,1098,460,.705,23,16,7,171,114,57,323,225,98,2010
Lionel Hollins,MEM,4,4,82,40,42,185,71,114,185,71,114,.384,,,,,,,,,,2010
Erik Spoelstra,MIA,2,2,82,47,35,164,90,74,164,90,74,.549,5,1,4,12,4,8,12,4,8,2010
Scott Skiles,MIL,2,10,82,46,36,164,80,84,696,361,335,.519,7,3,4,7,3,4,42,18,24,2010
Kurt Rambis,MIN,1,2,82,15,67,82,15,67,119,39,80,.328,,,,,,,8,3,5,2010
Lawrence Frank,NJN,7,7,16,0,16,466,225,241,466,225,241,.483,,,,38,18,20,38,18,20,2010
Tom Barrise,NJN,1,1,2,0,2,2,0,2,2,0,2,.000,,,,,,,,,,2010
Kiki Vandeweghe,NJN,1,1,64,12,52,64,12,52,64,12,52,.188,,,,,,,,,,2010
Byron Scott,NOH,6,10,9,3,6,419,203,216,707,352,355,.498,,,,17,8,9,57,33,24,2010
Jeff Bower,NOH,1,1,73,34,39,73,34,39,73,34,39,.466,,,,,,,,,,2010
Mike D'Antoni,NYK,2,8,82,29,53,164,61,103,603,328,275,.544,,,,,,,51,26,25,2010
Scott Brooks,OKC,2,2,82,50,32,151,72,79,151,72,79,.477,6,2,4,6,2,4,6,2,4,2010
Stan Van Gundy,ORL,3,6,82,59,23,246,170,76,431,282,149,.654,14,10,4,48,28,20,76,45,31,2010
Eddie Jordan,PHI,1,9,82,27,55,82,27,55,600,257,343,.428,,,,,,,26,8,18,2010
Alvin Gentry,PHO,2,9,82,54,28,113,72,41,516,249,267,.483,16,10,6,16,10,6,21,12,9,2010
Nate McMillan,POR,5,10,82,50,32,410,198,212,805,410,395,.509,6,2,4,12,4,8,28,12,16,2010
Paul Westphal,SAC,1,8,82,25,57,82,25,57,508,292,216,.575,,,,,,,49,27,22,2010
Gregg Popovich,SAS,14,14,82,50,32,1098,736,362,1098,736,362,.670,10,4,6,175,106,69,175,106,69,2010
Jay Triano,TOR,2,2,82,40,42,147,65,82,147,65,82,.442,,,,,,,,,,2010
Jerry Sloan,UTA,22,25,82,53,29,1755,1096,659,1970,1190,780,.604,10,4,6,196,96,100,202,98,104,2010
Flip Saunders,WAS,1,14,82,26,56,82,26,56,1065,613,452,.576,,,,,,,98,47,51,2010
Larry Drew,ATL,1,1,82,44,38,82,44,38,82,44,38,.537,12,6,6,12,6,6,12,6,6,2011
Doc Rivers,BOS,7,12,82,56,26,574,336,238,913,507,406,.555,9,5,4,80,46,34,95,51,44,2011
Larry Brown,CHA,3,30,28,9,19,192,88,104,2338,1327,1011,.568,,,,4,0,4,235,120,115,2011
Paul Silas,CHA,5,11,54,25,29,335,186,149,809,380,429,.470,,,,23,11,12,29,13,16,2011
Tom Thibodeau,CHI,1,1,82,62,20,82,62,20,82,62,20,.756,16,9,7,16,9,7,16,9,7,2011
Byron Scott,CLE,1,11,82,19,63,82,19,63,789,371,418,.470,,,,,,,57,33,24,2011
Rick Carlisle,DAL,3,9,82,57,25,246,162,84,738,443,295,.600,21,16,5,37,23,14,99,53,46,2011
George Karl,DEN,7,23,82,50,32,532,328,204,1739,1036,703,.596,5,1,4,46,16,30,172,75,97,2011
John Kuester,DET,2,2,82,30,52,164,57,107,164,57,107,.348,,,,,,,,,,2011
Keith Smart,GSW,1,2,82,36,46,82,36,46,122,45,77,.369,,,,,,,,,,2011
Rick Adelman,HOU,4,20,82,43,39,328,193,135,1561,945,616,.605,,,,19,9,10,157,79,78,2011
Jim O'Brien,IND,4,9,44,17,27,290,121,169,630,303,327,.481,,,,,,,31,14,17,2011
Frank Vogel,IND,1,1,38,20,18,38,20,18,38,20,18,.526,5,1,4,5,1,4,5,1,4,2011
Vinny Del Negro,LAC,1,3,82,32,50,82,32,50,246,114,132,.463,,,,,,,12,4,8,2011
Phil Jackson,LAL,11,20,82,57,25,902,610,292,1640,1155,485,.704,10,4,6,181,118,63,333,229,104,2011
Lionel Hollins,MEM,5,5,82,46,36,267,117,150,267,117,150,.438,13,7,6,13,7,6,13,7,6,2011
Erik Spoelstra,MIA,3,3,82,58,24,246,148,98,246,148,98,.602,21,14,7,33,18,15,33,18,15,2011
Scott Skiles,MIL,3,11,82,35,47,246,115,131,778,396,382,.509,,,,7,3,4,42,18,24,2011
Kurt Rambis,MIN,2,3,82,17,65,164,32,132,201,56,145,.279,,,,,,,8,3,5,2011
Avery Johnson,NJN,1,5,82,24,58,82,24,58,346,218,128,.630,,,,,,,47,23,24,2011
Monty Williams,NOH,1,1,82,46,36,82,46,36,82,46,36,.561,6,2,4,6,2,4,6,2,4,2011
Mike D'Antoni,NYK,3,9,82,42,40,246,103,143,685,370,315,.540,4,0,4,4,0,4,55,26,29,2011
Scott Brooks,OKC,3,3,82,55,27,233,127,106,233,127,106,.545,17,9,8,23,11,12,23,11,12,2011
Stan Van Gundy,ORL,4,7,82,52,30,328,222,106,513,334,179,.651,6,2,4,54,30,24,82,47,35,2011
Doug Collins,PHI,1,9,82,41,41,82,41,41,701,373,328,.532,5,1,4,5,1,4,43,16,27,2011
Alvin Gentry,PHO,3,10,82,40,42,195,112,83,598,289,309,.483,,,,16,10,6,21,12,9,2011
Nate McMillan,POR,6,11,82,48,34,492,246,246,887,458,429,.516,6,2,4,18,6,12,34,14,20,2011
Paul Westphal,SAC,2,9,82,24,58,164,49,115,590,316,274,.536,,,,,,,49,27,22,2011
Gregg Popovich,SAS,15,15,82,61,21,1180,797,383,1180,797,383,.675,6,2,4,181,108,73,181,108,73,2011
Jay Triano,TOR,3,3,82,22,60,229,87,142,229,87,142,.380,,,,,,,,,,2011
Jerry Sloan,UTA,23,26,54,31,23,1809,1127,682,2024,1221,803,.603,,,,196,96,100,202,98,104,2011
Tyrone Corbin,UTA,1,1,28,8,20,28,8,20,28,8,20,.286,,,,,,,,,,2011
Flip Saunders,WAS,2,15,82,23,59,164,49,115,1147,636,511,.554,,,,,,,98,47,51,2011
Larry Drew,ATL,2,2,66,40,26,148,84,64,148,84,64,.568,6,2,4,18,8,10,18,8,10,2012
Doc Rivers,BOS,8,13,66,39,27,640,375,265,979,546,433,.558,20,11,9,100,57,43,115,62,53,2012
Paul Silas,CHA,6,12,66,7,59,401,193,208,875,387,488,.442,,,,23,11,12,29,13,16,2012
Tom Thibodeau,CHI,2,2,66,50,16,148,112,36,148,112,36,.757,6,2,4,22,11,11,22,11,11,2012
Byron Scott,CLE,2,12,66,21,45,148,40,108,855,392,463,.458,,,,,,,57,33,24,2012
Rick Carlisle,DAL,4,10,66,36,30,312,198,114,804,479,325,.596,4,0,4,41,23,18,103,53,50,2012
George Karl,DEN,8,24,66,38,28,598,366,232,1805,1074,731,.595,7,3,4,53,19,34,179,78,101,2012
Lawrence Frank,DET,1,8,66,25,41,66,25,41,532,250,282,.470,,,,,,,38,18,20,2012
Mark Jackson,GSW,1,1,66,23,43,66,23,43,66,23,43,.348,,,,,,,,,,2012
Kevin McHale,HOU,1,3,66,34,32,66,34,32,160,73,87,.456,,,,,,,,,,2012
Frank Vogel,IND,2,2,66,42,24,104,62,42,104,62,42,.596,11,6,5,16,7,9,16,7,9,2012
Vinny Del Negro,LAC,2,4,66,40,26,148,72,76,312,154,158,.494,11,4,7,11,4,7,23,8,15,2012
Mike Brown,LAL,1,6,66,41,25,66,41,25,476,313,163,.658,12,5,7,12,5,7,83,47,36,2012
Lionel Hollins,MEM,6,6,66,41,25,333,158,175,333,158,175,.474,7,3,4,20,10,10,20,10,10,2012
Erik Spoelstra,MIA,4,4,66,46,20,312,194,118,312,194,118,.622,23,16,7,56,34,22,56,34,22,2012
Scott Skiles,MIL,4,12,66,31,35,312,146,166,844,427,417,.506,,,,7,3,4,42,18,24,2012
Rick Adelman,MIN,1,21,66,26,40,66,26,40,1627,971,656,.597,,,,,,,157,79,78,2012
Avery Johnson,NJN,2,6,66,22,44,148,46,102,412,240,172,.583,,,,,,,47,23,24,2012
Monty Williams,NOH,2,2,66,21,45,148,67,81,148,67,81,.453,,,,6,2,4,6,2,4,2012
Mike D'Antoni,NYK,4,10,42,18,24,288,121,167,727,388,339,.534,,,,4,0,4,55,26,29,2012
Mike Woodson,NYK,1,7,24,18,6,24,18,6,516,224,292,.434,5,1,4,5,1,4,34,12,22,2012
Scott Brooks,OKC,4,4,66,47,19,299,174,125,299,174,125,.582,20,13,7,43,24,19,43,24,19,2012
Stan Van Gundy,ORL,5,8,66,37,29,394,259,135,579,371,208,.641,5,1,4,59,31,28,87,48,39,2012
Doug Collins,PHI,2,10,66,35,31,148,76,72,767,408,359,.532,13,7,6,18,8,10,56,23,33,2012
Alvin Gentry,PHO,4,11,66,33,33,261,145,116,664,322,342,.485,,,,16,10,6,21,12,9,2012
Nate McMillan,POR,7,12,43,20,23,535,266,269,930,478,452,.514,,,,18,6,12,34,14,20,2012
Kaleb Canales,POR,1,1,23,8,15,23,8,15,23,8,15,.348,,,,,,,,,,2012
Paul Westphal,SAC,3,10,7,2,5,171,51,120,597,318,279,.533,,,,,,,49,27,22,2012
Keith Smart,SAC,1,3,59,20,39,59,20,39,181,65,116,.359,,,,,,,,,,2012
Gregg Popovich,SAS,16,16,66,50,16,1246,847,399,1246,847,399,.680,14,10,4,195,118,77,195,118,77,2012
Dwane Casey,TOR,1,3,66,23,43,66,23,43,188,76,112,.404,,,,,,,,,,2012
Tyrone Corbin,UTA,2,2,66,36,30,94,44,50,94,44,50,.468,4,0,4,4,0,4,4,0,4,2012
Flip Saunders,WAS,3,16,17,2,15,181,51,130,1164,638,526,.548,,,,,,,98,47,51,2012
Randy Wittman,WAS,1,6,49,18,31,49,18,31,356,118,238,.331,,,,,,,,,,2012
Larry Drew,ATL,3,3,82,44,38,230,128,102,230,128,102,.557,6,2,4,24,10,14,24,10,14,2013
Doc Rivers,BOS,9,14,81,41,40,721,416,305,1060,587,473,.554,6,2,4,106,59,47,121,64,57,2013
Avery Johnson,BRK,3,7,28,14,14,176,60,116,440,254,186,.577,,,,,,,47,23,24,2013
P.J. Carlesimo,BRK,1,9,54,35,19,54,35,19,554,239,315,.431,7,3,4,7,3,4,19,6,13,2013
Mike Dunlap,CHA,1,1,82,21,61,82,21,61,82,21,61,.256,,,,,,,,,,2013
Tom Thibodeau,CHI,3,3,82,45,37,230,157,73,230,157,73,.683,12,5,7,34,16,18,34,16,18,2013
Byron Scott,CLE,3,13,82,24,58,230,64,166,937,416,521,.444,,,,,,,57,33,24,2013
Rick Carlisle,DAL,5,11,82,41,41,394,239,155,886,520,366,.587,,,,41,23,18,103,53,50,2013
George Karl,DEN,9,25,82,57,25,680,423,257,1887,1131,756,.599,6,2,4,59,21,38,185,80,105,2013
Lawrence Frank,DET,2,9,82,29,53,148,54,94,614,279,335,.454,,,,,,,38,18,20,2013
Mark Jackson,GSW,2,2,82,47,35,148,70,78,148,70,78,.473,12,6,6,12,6,6,12,6,6,2013
Kevin McHale,HOU,2,4,82,45,37,148,79,69,242,118,124,.488,6,2,4,6,2,4,6,2,4,2013
Frank Vogel,IND,3,3,81,49,32,185,111,74,185,111,74,.600,19,11,8,35,18,17,35,18,17,2013
Vinny Del Negro,LAC,3,5,82,56,26,230,128,102,394,210,184,.533,6,2,4,17,6,11,29,10,19,2013
Mike Brown,LAL,2,7,5,1,4,71,42,29,481,314,167,.653,,,,12,5,7,83,47,36,2013
Bernie Bickerstaff,LAL,1,14,5,4,1,5,4,1,937,419,518,.447,,,,,,,33,12,21,2013
Mike D'Antoni,LAL,1,11,72,40,32,72,40,32,799,428,371,.536,4,0,4,4,0,4,59,26,33,2013
Lionel Hollins,MEM,7,7,82,56,26,415,214,201,415,214,201,.516,15,8,7,35,18,17,35,18,17,2013
Erik Spoelstra,MIA,5,5,82,66,16,394,260,134,394,260,134,.660,23,16,7,79,50,29,79,50,29,2013
Scott Skiles,MIL,5,13,32,16,16,344,162,182,876,443,433,.506,,,,7,3,4,42,18,24,2013
Jim Boylan,MIL,1,2,50,22,28,50,22,28,106,46,60,.434,4,0,4,4,0,4,4,0,4,2013
Rick Adelman,MIN,2,22,82,31,51,148,57,91,1709,1002,707,.586,,,,,,,157,79,78,2013
Monty Williams,NOH,3,3,82,27,55,230,94,136,230,94,136,.409,,,,6,2,4,6,2,4,2013
Mike Woodson,NYK,2,8,82,54,28,106,72,34,598,278,320,.465,12,6,6,17,7,10,46,18,28,2013
Scott Brooks,OKC,5,5,82,60,22,381,234,147,381,234,147,.614,11,5,6,54,29,25,54,29,25,2013
Jacque Vaughn,ORL,1,1,82,20,62,82,20,62,82,20,62,.244,,,,,,,,,,2013
Doug Collins,PHI,3,11,82,34,48,230,110,120,849,442,407,.521,,,,18,8,10,56,23,33,2013
Alvin Gentry,PHO,5,12,41,13,28,302,158,144,705,335,370,.475,,,,16,10,6,21,12,9,2013
Lindsey Hunter,PHO,1,1,41,12,29,41,12,29,41,12,29,.293,,,,,,,,,,2013
Terry Stotts,POR,1,5,82,33,49,82,33,49,365,148,217,.405,,,,,,,5,1,4,2013
Keith Smart,SAC,2,4,82,28,54,141,48,93,263,93,170,.354,,,,,,,,,,2013
Gregg Popovich,SAS,17,17,82,58,24,1328,905,423,1328,905,423,.681,21,15,6,216,133,83,216,133,83,2013
Dwane Casey,TOR,2,4,82,34,48,148,57,91,270,110,160,.407,,,,,,,,,,2013
Tyrone Corbin,UTA,3,3,82,43,39,176,87,89,176,87,89,.494,,,,4,0,4,4,0,4,2013
Randy Wittman,WAS,2,7,82,29,53,131,47,84,438,147,291,.336,,,,,,,,,,2013
Mike Budenholzer,ATL,1,1,82,38,44,82,38,44,82,38,44,.463,7,3,4,7,3,4,7,3,4,2014
Brad Stevens,BOS,1,1,82,25,57,82,25,57,82,25,57,.305,,,,,,,,,,2014
Jason Kidd,BRK,1,1,82,44,38,82,44,38,82,44,38,.537,12,5,7,12,5,7,12,5,7,2014
Steve Clifford,CHA,1,1,82,43,39,82,43,39,82,43,39,.524,4,0,4,4,0,4,4,0,4,2014
Tom Thibodeau,CHI,4,4,82,48,34,312,205,107,312,205,107,.657,5,1,4,39,17,22,39,17,22,2014
Mike Brown,CLE,6,8,82,33,49,492,305,187,563,347,216,.616,,,,71,42,29,83,47,36,2014
Rick Carlisle,DAL,6,12,82,49,33,476,288,188,968,569,399,.588,7,3,4,48,26,22,110,56,54,2014
Brian Shaw,DEN,1,1,82,36,46,82,36,46,82,36,46,.439,,,,,,,,,,2014
Maurice Cheeks,DET,1,9,50,21,29,50,21,29,620,305,315,.492,,,,,,,16,5,11,2014
John Loyer,DET,1,1,32,8,24,32,8,24,32,8,24,.250,,,,,,,,,,2014
Mark Jackson,GSW,3,3,82,51,31,230,121,109,230,121,109,.526,7,3,4,19,9,10,19,9,10,2014
Kevin McHale,HOU,3,5,82,54,28,230,133,97,324,172,152,.531,6,2,4,12,4,8,12,4,8,2014
Frank Vogel,IND,4,4,82,56,26,267,167,100,267,167,100,.625,19,10,9,54,28,26,54,28,26,2014
Doc Rivers,LAC,1,15,82,57,25,82,57,25,1142,644,498,.564,13,6,7,13,6,7,134,70,64,2014
Mike D'Antoni,LAL,2,12,82,27,55,154,67,87,881,455,426,.516,,,,4,0,4,59,26,33,2014
Dave Joerger,MEM,1,1,82,50,32,82,50,32,82,50,32,.610,7,3,4,7,3,4,7,3,4,2014
Erik Spoelstra,MIA,6,6,82,54,28,476,314,162,476,314,162,.660,20,13,7,99,63,36,99,63,36,2014
Larry Drew,MIL,1,4,82,15,67,82,15,67,312,143,169,.458,,,,,,,24,10,14,2014
Rick Adelman,MIN,3,23,82,40,42,230,97,133,1791,1042,749,.582,,,,,,,157,79,78,2014
Monty Williams,NOP,4,4,82,34,48,312,128,184,312,128,184,.410,,,,6,2,4,6,2,4,2014
Mike Woodson,NYK,3,9,82,37,45,188,109,79,680,315,365,.463,,,,17,7,10,46,18,28,2014
Scott Brooks,OKC,6,6,82,59,23,463,293,170,463,293,170,.633,19,10,9,73,39,34,73,39,34,2014
Jacque Vaughn,ORL,2,2,82,23,59,164,43,121,164,43,121,.262,,,,,,,,,,2014
Brett Brown,PHI,1,1,82,19,63,82,19,63,82,19,63,.232,,,,,,,,,,2014
Jeff Hornacek,PHO,1,1,82,48,34,82,48,34,82,48,34,.585,,,,,,,,,,2014
Terry Stotts,POR,2,6,82,54,28,164,87,77,447,202,245,.452,11,5,6,11,5,6,16,6,10,2014
Mike Malone,SAC,1,1,82,28,54,82,28,54,82,28,54,.341,,,,,,,,,,2014
Gregg Popovich,SAS,18,18,82,62,20,1410,967,443,1410,967,443,.686,23,16,7,239,149,90,239,149,90,2014
Dwane Casey,TOR,3,5,82,48,34,230,105,125,352,158,194,.449,7,3,4,7,3,4,7,3,4,2014
Tyrone Corbin,UTA,4,4,82,25,57,258,112,146,258,112,146,.434,,,,4,0,4,4,0,4,2014
Randy Wittman,WAS,3,8,82,44,38,213,91,122,520,191,329,.367,11,6,5,11,6,5,11,6,5,2014
Mike Budenholzer,ATL,2,2,82,60,22,164,98,66,164,98,66,.598,16,8,8,23,11,12,23,11,12,2015
Brad Stevens,BOS,2,2,82,40,42,164,65,99,164,65,99,.396,4,0,4,4,0,4,4,0,4,2015
Lionel Hollins,BRK,1,8,82,38,44,82,38,44,497,252,245,.507,6,2,4,6,2,4,41,20,21,2015
Tom Thibodeau,CHI,5,5,82,50,32,394,255,139,394,255,139,.647,12,6,6,51,23,28,51,23,28,2015
Steve Clifford,CHO,2,2,82,33,49,164,76,88,164,76,88,.463,,,,4,0,4,4,0,4,2015
David Blatt,CLE,1,1,82,53,29,82,53,29,82,53,29,.646,20,14,6,20,14,6,20,14,6,2015
Rick Carlisle,DAL,7,13,82,50,32,558,338,220,1050,619,431,.590,5,1,4,53,27,26,115,57,58,2015
Brian Shaw,DEN,2,2,59,20,39,141,56,85,141,56,85,.397,,,,,,,,,,2015
Melvin Hunt,DEN,1,1,23,10,13,23,10,13,23,10,13,.435,,,,,,,,,,2015
Stan Van Gundy,DET,1,9,82,32,50,82,32,50,661,403,258,.610,,,,,,,87,48,39,2015
Steve Kerr,GSW,1,1,82,67,15,82,67,15,82,67,15,.817,21,16,5,21,16,5,21,16,5,2015
Kevin McHale,HOU,4,6,82,56,26,312,189,123,406,228,178,.562,17,9,8,29,13,16,29,13,16,2015
Frank Vogel,IND,5,5,82,38,44,349,205,144,349,205,144,.587,,,,54,28,26,54,28,26,2015
Doc Rivers,LAC,2,16,82,56,26,164,113,51,1224,700,524,.572,14,7,7,27,13,14,148,77,71,2015
